id,name,primary_image,category_id,subcategory_id,product_id,availability,price (цена),weight (вес),weight_class,year,created_at,updated_at,seo,secondary_images,tags,description,name_ru,description_ru
880,Ураган Форте 300 мл,p401041.jpg,400,401,p401880,20,329,300,мл,2026,7/22/2027,10/6/2027,uragan-forte-300-ml,,,"Коли вигідно купити Ураган Форте 300 мл Ураган Форте 300 мл – це системний гербіцид суцільної дії , який ефективно знищує широкий спектр бур’янів. Об’єм 300 мл особливо вигідний для власників середніх і великих ділянок, де потрібна обробка значних площ. На Ураган Форте інструкція рекомендує концентрат власникам ділянок від 7 до 15 соток. Таким об’ємом можна обробити 10-15 соток при стандартному розведенні для однорічників або 7-8 соток при боротьбі з багаторічниками. Купити Ураган Форте 300 мл від Syngenta економічно вигідніше, ніж кілька маленьких флаконів. При перерахунку на 100 мл ціна 300 мл виявиться значно нижчою, ніж меншого аналога. Ураган Форте 300 мл, ціна і переваги Ураган Форте 300 мл від бур’яну – оптимальний вибір для більшості городників: економічна вигода – вартість 1 мл концентрату на 15-20% нижча в порівнянні з меншими упаковками; практичність – одного флакону вистачає для обробки ділянки 10-15 соток; гнучкість застосування – концентрат можна розділити на кілька обробок, використовувати залишки в наступних сезонах (термін придатності – 5 років). У каталоозі є менший об’єм для разової обробки або маленької ділянки, у нас є Ураган форте 100 мл . Якщо недостатньо 300 мл, обирайте препарат Ураган Форте 1 літр , призначений для великих площ. Якщо ви цінуєте зручність і не бажаєте розводити концентрат, пропонуємо придбати готовий до використання Ураган Форте спрей .",Ураган Форте 300мл,
883,Антипирій 100 мл,p401044.jpg,400,401,p401883,20,142,100,мл,2026,7/23/2027,10/7/2027,antipirii-100-ml,,universal,"Антипирій 100 мл гербіцид Гербіцид Антипирій призначений для знищення злакових однорічних та багаторічних бур'янів на вашому городі. Препарат має системну дію, за рахунок якої знищує різні типи бур'янів. Це чудовий варіант захисту сходів картоплі, ріпаку, гороху, капусти, буряків та інших сільськогосподарських культур від патогенного впливу для отримання відмінного врожаю. Гербіцид Антипирій відгуки, переваги широкий спектр культур для ефективного знищення; збереження продуктивності дії навіть у дощову та вітряну погоду; мінімальна норма витрати Антипирія для отримання потрібного результату обробки; знищення кореневої системи бур'янів, так що вони не зможуть прорости на тому ж місці повторно; відсутність накопичення токсичних компонентів у ґрунті; можливість використання післясходового гербіциду для моркви, часнику, по помідорах, полуниці та інших с/г культурах. Універсальність препарату дозволяє однією баночкою обробити кілька соток ґрунту. Концентрат швидко розчиняється у воді та легко наноситься на рослини. Позитивні відгуки про Антипирій свідчать про те, що це один з найкращих гербіцидів проти злакових бур’янів, який можна знайти на ринку.",Анти пырей,
884,Антисапа 10 г,p401045.jpg,400,401,p401884,20,31.5,10,гр,2026,7/24/2027,10/8/2027,antisapa-10-g,,drought_tolerant,"Препарат Антисапа 10г Гербіцид Антисапа - відмінний засіб для боротьби з бур'янами на посівах сільськогосподарських культур. Препарат ефективно справляється з однорічними дводольними та кількома видами злакових бур'янів. Оскільки це гербіцид системного впливу, то його вплив відбувається не тільки через ґрунт, а й через листяну частину.За допомогою гербіциду Антисапа для картоплі можна контролювати безліч бур'янів, серед яких: фіалка польова, ромашка, волошка, росичка, мишій, герань, вероніка, дурман звичайний, польова гірчиця, грицики та інші. Антисапа відгуки, переваги Антисапа від бур'яну надає довготривалий захист грунту від широкого спектра бур’янів, знищуючи навіть їх проростки. Також препарат користується популярністю з таких причин: не завдає шкоди ґрунтовій мікрофлорі, бджолам і корисним комахам; не боїться посухи та високих температур повітря; доступний не тільки у формі гранул, а й у формі концентрату емульсії; показує відмінний результат і мінімальні витрати при легкій структурі ґрунту; не втрачає ефективності в дощову погоду. відмінно працює у парі з гербіцидом Тівітус Не дивно, що фермери і дачники такої високої думки про препарат, залишаючи безліч позитивних відгуків про Антисапу.",Антисапа10гр,
885,Антисапа 50 г,p401046.jpg,400,401,p401885,20,132,50,гр,2026,7/25/2027,10/9/2027,antisapa-50-g,,drought_tolerant,"Гербіцид Антисапа 50г Гербіцид Антисапа - відмінний засіб для боротьби з бур'янами на посівах сільськогосподарських культур. Препарат ефективно справляється з однорічними дводольними та кількома видами злакових бур'янів. Оскільки це гербіцид системного впливу, то його вплив відбувається не тільки через ґрунт, а й через листяну частину. За допомогою гербіциду Антисапа для картоплі можна контролювати безліч бур'янів, серед яких: фіалка польова, ромашка, волошка, росичка, мишій, герань, вероніка, дурман звичайний, польова гірчиця, грицики та переваги Антисапа від бур'яну надає довготривалий захист грунту від широкого спектра бур’янів, знищуючи навіть їх проростки. Також препарат користується популярністю з таких причин: не завдає шкоди ґрунтовій мікрофлорі, бджолам і корисним комахам; не боїться посухи та високих температур повітря; доступний не тільки у формі гранул, а й у формі концентрату емульсії; показує відмінний результат і мінімальні витрати при легкій структурі ґрунту; не втрачає ефективності в дощову погоду. відмінно працює у парі з гербіцидом Рим+Мачо . Не дивно, що фермери і дачники такої високої думки про препарат, залишаючи безліч позитивних відгуків про Антисапу.",Антысапа 50 мг,
887,Рим 1 г + Мачо 5 мл,p401048.jpg,400,401,p401887,20,35,1,гр,2026,7/26/2027,10/10/2027,rim-1-g-macho-5-ml,,,"Гербіцид Рим 1г+Мачо 5мл Рим плюс Мачо - післясходовий гербіцид з прилипачем, призначений для захисту овочевих культур від різного роду бур'янів (однорічні та багаторічні злакові). Гербіцид поєднується разом із прилипачем, який активує та посилює його дію щодо небажаної рослинності в посівах культур. Засіб є післясходовим гербіцидом, який характеризується системними властивостями, використовується найчастіше на кукурудзі, картоплі, томатах. Рим+Мачо відгуки, переваги Згідно з позитивними відгуками про гербіцид Рим плюс Мачо, можна виділити головні переваги комплексу препаратів: швидко (10-14 днів) розкладається в ґрунті, тому немає обмежень у сівозміні культур у майбутньому; зменшується негативний вплив погодних умов (спека, опади) на ефективність засобу; Відгуки про Рим плюс Мачо підтверджують продуктивність засобу. розчин повністю змочує надземну частину і проникає всередину рослини через шар воскового нальоту на листках; має низькі норми витрати, може замінювати досходовий і передпосівний обробіток ґрунту; зміцнює дію інших інсектицидів і фунгіцидів.",Рим 1гр+Мачо 5 мл,
890,Антисапа Ліквід 100 мл,p401051.jpg,400,401,p401890,20,225,100,мл,2026,7/27/2027,10/11/2027,antisapa-likvid-100-ml,,,"Антисапа Ліквід 100 мл купити Антисапа Ліквід - ефективний гербіцид системної дії у формі концентрату суспензії, що призначений для боротьби з багатьма видами однорічних бур'янів (квітковими та злаковими). Препарат можна застосовувати на різних видах ґрунту під час посіву сільськогосподарських культур, він стійкий до коливань температур. Засіб від бур'янів Антисапа Ліквід ефективно бореться з більш ніж 300 видами шкідливих рослин, серед яких: синя волошка, ромашка, щириця, портулак, амброзія, просо, пажитниця, мишій, кропива, фіалка польова та інші. Якщо ви не хочете займатися додатковою прополкою, то саме час купити Антисапа Ліквід - ефективний засіб від бур'янів по картоплі, моркві. Досить одного обприскування за весь сезон і проблема бур'янів зникне сама по собі. Антисапа Ліквід ціна, відгуки, переваги Позитивні відгуки на Антисапа Ліквід підтверджують тривалий захист овочевих культур від докучливих бур'янів. Крім того, препарат: вбиває шкідливі рослини ще на стадії сім’ядолей; має форму концентрату суспензії та швидко розчиняється у воді, а робочий розчин не піниться; склад Антисапа Ліквід є абсолютно безпечним для бджіл і корисних рослин; може використовуватися спільно з іншими компонентами, але попередньо потрібно переконатися в сумісності; знижує пестицидне навантаження на навколишнє середовище. відмінний результат показує при використанні в парі з гербіцидом Рим + Мачо .",Антисапа  Ликвид 100мл,
891,Гольф 3 г,p401052.jpg,400,401,p401891,20,15,3,гр,2026,7/28/2027,10/12/2027,golf-3-g,,universal,"Гольф 3г гербіцид селективної дії, який призначений для знищення однорічних і багаторічних бур'янів. Він ефективно справляється з бур'янами, що заважають злаковим газонним травам після сходів. Препарат знищує сотні різновидів бур'янів, серед яких амброзія, польова гірчиця, полин, дика редька, мак, кульбаба, паслін, ромашка і багато іншого. Гольф гербіцид відгуки, ціна, переваги універсальність - ефективність щодо широкого спектра газонних бур'янів; швидкість - з моменту обприскування до загибелі бур'яну минає не більше 21 дня; Гольф, гербіцид відгуки стосовно ефективності засобу та його якості - позитивні; безпека - через 30 днів препарат повністю розкладається, можна спокійно садити в ґрунт нові рослини; невелика витрата - застосування гербіциду Гольф в одній упаковці буде достатньо для обробки 100-150 м 2 (сотки) посадкової площі. Використання Гольфа дасть змогу в найкоротші терміни надати газону на вашій прибудинковій ділянці привабливого вигляду.Гербіцид застосовується для газонів віком старше 8 місяців. Після обробки заборонено косити газон протягом трьох днів, поки не подіє препарат. Ціна Гольф 3г відповідає якості та ефективності цього препарату.",Гольф 3гр,
893,Пермаклін Ліквід 20 мл,p401054.jpg,400,401,p401893,20,120.4,20,мл,2026,7/29/2027,10/13/2027,permaklin-likvid-20-ml,,,"Пермаклін Ліквід 20 мл Пермаклін Ліквід або Зенкор Ліквід - гербіцид системної дії. Він допомагає боротися з дводольними однорічними і злаковими бур'янами, які докучають сходам сільськогосподарських культур. Препарат сприяє хорошим врожаям картоплі, помідорів, моркви та інших овочевих рослин. Пермаклін Ліквід відгуки, переваги Отрута Зенкор гарантує такі переваги: забезпечує захист рослин на весь період росту; мінімально витрачається і швидко розчиняється у воді; Зенкор, ціна відповідає якості препарату; діє проти великої кількості видів бур'янів; зберігає ефективність при несприятливих погодних умовах; починає діяти вже через кілька годин після обробки. Гербіцид для картоплі, для томатів Зенкор захищає с/г культури протягом 30 днів. Цього буде достатньо, щоб рослини нормально виросли і розвинулися, а бур'ян не завадив отриманню високого врожаю.",Пермаклин Ликвид 20 мл,
896,Альфа Прометрин 100 мл,p401057.jpg,400,401,p401896,0,0,100,мл,2026,7/30/2027,10/14/2027,alfa-prometrin-100-ml,,,"Альфа Прометрин 100 мл Альфа Прометрин - гербіцид, що має вибіркову дію. Його використовують для боротьби з бур'янами, які атакують зернові, бобові та овочеві с/г культури (наприклад, соняшник, селеру, сою, моркву та інші). Переваги засобу Ґрунтовий гербіцид Альфа Прометрин здатний знищувати бур'яни до сходів і після проростання. Його ефективно застосовують для обробки посівних територій, полів і городів від різних видів гірчака, буркуну, фізалісу, щириці, черги, росички, ромашки і проса, а також від дурману звичайного, кропиви пекучої, конюшини, грициків, дикої редьки, городнього осоту та інших бур'янів. Переваги: низька летючість; висока селективність; ефективний контроль цільових бур'янів; тривала захисна дія (6-8 тижнів); відсутність негативного впливу на культури в ході сівозміни; можливість внесення в період посівної та після її завершення; застосування в комбінації із сумісними гербіцидами (наприклад, Еталон або Гетьман). При дотриманні правил обробки препарат не проявляє фітотоксичності. До кінця вегетаційного періоду прометрин розкладається в ґрунті та не становить небезпеки для навколишнього середовища.",Альфа- Прометрин 100 мл,
898,Ацетал 100 мл,p401059.jpg,400,401,p401898,20,90,100,мл,2026,7/31/2027,10/15/2027,atsetal-100-ml,,,"Ацетал гербіцид Ацетал - ґрунтовий селективний гербіцид, ефективний у боротьбі з злакомиви однорічними та  дводольними видами бур'янів в овочевих посівах Довсходовий гербіцид для кукурудзи впорається навіть з такими надокучливими і важко виводимими бур'янами, як амброзія і осот. Переваги використання Відгуки про гербіцид Ацетал свідчать про його ефективність і результативність. Покупці підтверджують чисті сходи і відмінний результат після використання препарату. Також до головних переваг можна віднести: широкий спектр дії; тривалий захисний період (2 місяці); просте і зручне застосування; економічна витрата препарату; термін придатності 5 років. Ацетал ціна відповідає ефективності, якості засобу.",Ацетат 100мл,
900,Віталон Експерт 100 мл,p401061.jpg,400,401,p401900,0,137.8,100,мл,2026,8/1/2027,10/16/2027,vitalon-ekspert-100-ml,,,"Опис «Віталон Експерт» 100 мл Віталон Експерт - високоефективний трикомпонентний системний гербіцид, спеціально розроблений для післясходового захисту цукрових буряків. Даний засіб забезпечує надійний контроль над широким спектром однорічних та багаторічних бур'янів, включаючи деякі з найбільш складних та стійких видів (різних видів лободи, хрестоцвітих, гірчака, щириці). Швидко та ефективно, проникаючи у рослину через листя та кореневу систему, забезпечує тривалий захисний ефект. Завдяки своїй системній дії, препарат не тільки знищує видимі частини бур'янів, але й проникає глибоко в кореневу систему, запобігаючи повторному їх зростанню. Продукт є безпечним для цукрових буряків, не пригнічуючи їх розвиток та не впливаючи на якість врожаю. Переваги Використовується проти різного виду бур'янів. Можна обробляти посіви культури протягом усієї вегетації. Поверхнево-активні речовини, що входять до складу, покращують властивості гербіциду. Добре сумісний із великою кількістю пестицидів для цукрових буряків. Безпечний для зовнішнього середовища. Можна поєднувати у бакових сумішах з іншими пестицидами.",Виталон Експерт 100мл,
902,Голд Стар 5 г,p401063.jpg,400,401,p401902,20,25.5,5,гр,2026,8/2/2027,10/17/2027,gold-star-5-g,,,"
 «Голд Стар» 5 г Голд Стар – це високоефективний системний гербіцид, призначений для післясходової боротьби з дводольними бур'янами у посівах зернових культур. Він відрізняється швидким та тривалим дієвим впливом, здатним придушувати навіть ті види бур'янів, що стійкі до звичайних гербіцидів на основі 2,4-Д. Завдяки своїй унікальній формулі, Голд Стар не тільки ефективно знищує бур'яни, але й сприяє збереженню здоров'я та родючості ґрунту, а також забезпечує оптимальне середовище для розвитку зернових культур. Переваги Препарат проникає в рослину та не змивається опадами. Немає токсичності для довкілля. Немає обмежень щодо застосування сівозміни. Розпадається до збирання врожаю. Допустимо використовувати у бакових сумішах з інсектицидами.",Голд Стар 5 г,
903,Гольф 9 г,p401064.jpg,400,401,p401903,20,48,9,гр,2026,8/3/2027,10/18/2027,golf-9-g,,universal,"Гольф 9г гербіцид Гольф - гербіцид селективної дії, який призначений для знищення однорічних і багаторічних бур'янів. Він ефективно справляється з бур'янами, що заважають злаковим газонним травам після сходів. Препарат знищує сотні різновидів бур'янів, серед яких амброзія, польова гірчиця, полин, дика редька, мак, кульбаба, паслін, ромашка і багато іншого. Гольф гербіцид відгуки, ціна, переваги універсальність - ефективність щодо широкого спектра газонних бур'янів; швидкість - з моменту обприскування до загибелі бур'яну минає не більше 21 дня; Гольф, гербіцид відгуки стосовно ефективності засобу та його якості - позитивні; безпека - через 30 днів препарат повністю розкладається, можна спокійно садити в ґрунт нові рослини; невелика витрата - застосування гербіциду Гольф в одній упаковці буде достатньо для обробки 100-150 м 2 (сотки) посадкової площі. Використання Гольфа дасть змогу в найкоротші терміни надати газону на вашій прибудинковій ділянці привабливого вигляду. Трава буде зеленою і чистою, тим самим порадує гостей вашого будинку. Гербіцид застосовується для газонів віком старше 8 місяців. Після обробки заборонено косити газон протягом трьох днів, поки не подіє препарат. Ціна Гольф 3г відповідає якості та ефективності цього препарату.",Гольф 9 гр,
904,Дабл Трай 500 мл,p401065.jpg,400,401,p401904,20,662,500,мл,2026,8/4/2027,10/19/2027,dabl-trai-500-ml,,,"Гербіцид Дабл Трай 500 мл Дабл Трай - ґрунтовий гербіцид селективної дії, який надійно захищає овочеві культури від бур'янів (однорічні злакові та кілька видів дводольних рослин-паразитів). Препарат не накопичується в ґрунті, а його застосування підвищує врожайність і активізує ріст рослин. Використовується як гербіцид для баклажанів, для баштана, по перцю, популярний як обробка картоплі від бур'янів. Дабл Трай відгуки, переваги знижує кількість механічних обробок ґрунту, зберігає правильну структуру родючого шару ґрунту; не викликає звикання у рослин; виконує захисну функцію, знищуючи бур'яни на ранніх етапах розвитку овочевих культур; Дабл Трай, відгуки стосовно економічности засобу та його ефективності - позитивні; може застосовуватися як до, так і після посіву (головне, щоб до появи сходів); за рахунок тривалого періоду захисту (60 днів) спрощує догляд за культурами, знищуючи і другу хвилю рослин-паразитів; повністю розкладається в ґрунті до кінця росту та дозрівання культур; не має фітотоксичної дії. Рекомендується купувати тільки перевірені та найкращі гербіциди, щоб підвищити і поліпшити врожайність культур.",ДаблТрай 500мл,
905,Дуал Голд 300 мл,p401066.jpg,400,401,p401905,20,580.71,300,мл,2026,8/5/2027,10/20/2027,dual-gold-300-ml,,,"Дуал Голд 300 мл Дуал Голд 960 ЕС к. е. — досходовий ґрунтовий гербіцид для обробки ділянок з метою захисту від однорічних злакових та дводольних бур’янів. Препарат має вибіркову і системну дію, та застосовується на ділянках з картоплею, капустою, кавунами, кукурудзою, томатами, горохом, соняшником, буряками, тютюном. Має третій клас токсичності та практично безпечний для бджіл. Дуал Голд відгуки, переваги Виключення конкуренції з боку багатьох бур’янів для надійного захисту культур в найбільш критичний період розвитку. Відмінна вибірковість та висока ефективність на широкому спектрі однорічних злакових та дводольних бур’янів. Тривалий результат — від 6 до 10 тижнів. Повне розкладання активного компоненту в ґрунті до закінчення вегетації культури. Відсутність фітотоксичності навіть при передозуванні.",Думал Голд 500мл,
906,Дублер 20 г,p401067.jpg,400,401,p401906,20,65.5,20,гр,2026,8/6/2027,10/21/2027,dubler-20-g,,,"Гербіцид Дублер Дублер - гербіцид системної дії з високою селективністю, незамінний під час вирощування томатів, картоплі та сої. Засіб ефективно бореться з надокучливими дводольними, однорічними бур’янами, які заважають росту овочевих культур. Препарат зручний у використанні, має форму гранул, швидко розчиняється у воді. Після застосування одразу починає діяти, знищує коріння і таким чином запобігає виникненню нової хвилі бур'янів. Переваги використання Гербіциди для картоплі користуються надзвичайною популярністю, оскільки цей овоч вирощують практично всі фермери і городники. До основних переваг препарату належать: вплив на  широкий спектр бур'янів; довготривалий період захисту (є можливість вносити гербіцид частинами); не накопичується, а навпаки швидко розпадається в ґрунті та не несе шкоди навколишньому середовищу; досходове застосування дозволяє знищити паразитуючі рослини вже в момент проростання, блокує появу нової хвилі бур'янів. Гербіцид для картоплі, відгуки позитивні, з приводу його економічності у витраті: невелика кількість препарату дає змогу захистити велику ділянку.",Дублёр 20,
907,Дублер 50 г,p401068.jpg,400,401,p401907,0,65.5,50,гр,2026,8/7/2027,10/22/2027,dubler-50-g,,,"Гербицид Дублер 50г Дублер - гербіцид системної дії з високою селективністю, незамінний під час вирощування томатів, картоплі та сої. Засіб ефективно бореться з надокучливими дводольними, однорічними бур’янами, які заважають росту овочевих культур. Препарат зручний у використанні, має форму гранул, швидко розчиняється у воді. Після застосування одразу починає діяти, знищує коріння і таким чином запобігає виникненню нової хвилі бур'янів. Гербіцид Дублер відгуки, переваги Гербіциди для картоплі користуються надзвичайною популярністю, оскільки цей овоч вирощують практично всі фермери і городники. До основних переваг препарату належать: вплив на  широкий спектр бур'янів; довготривалий період захисту (є можливість вносити гербіцид частинами); не накопичується, а навпаки швидко розпадається в ґрунті та не несе шкоди навколишньому середовищу; досходове застосування дозволяє знищити паразитуючі рослини вже в момент проростання, блокує появу нової хвилі бур'янів. Гербіцид для картоплі, відгуки позитивні, з приводу його економічності у витраті: невелика кількість препарату дає змогу захистити велику ділянку.",Дублёр 50,
909,Квін Стар Макс 100 мл,p401070.jpg,400,401,p401909,0,123,100,мл,2026,8/8/2027,10/23/2027,kvin-star-maks-100-ml,,," Квін Стар Макс - інноваційний гербіцид, розроблений для ефективного знищення бур'янів і забезпечення здоров'я, активного росту аграрних культур різного призначення. Спеціально створений для боротьби з бур'яном, він використовується для збереження посівів і оптимізації врожаю. Квін Стар Макс відгуки від користувачів отримує виключно позитивні. Вони відзначають його високу ефективність у знищенні різних видів бур'янів. Рекомендуємо купити гербіцид Квін Стар Макс в інтернет-магазині АгроХім, щоб переконатися в його ефективності. Квін Стар Макс відгуки, ціна, переваги Новий препарат має високу результативність у знищенні паразитів, сприяючи підвищенню врожайності та поліпшенню якості посівів. Гербіцид Квін Стар Макс Укравіт відомий широким спектром дії, він ефективно бореться з різноманітними видами бур'янів на різних стадіях їхнього розвитку. Незалежно від виду або стадії розвитку бур'янів, він здатен ефективно контролювати небажану рослинність на полі. Квінстар Макс простий у використанні завдяки чітким інструкціям і легкості розведення. Препарат слід підготувати до використання та нанести на рослини. Його застосування значно економить час, береже сили фермерів і городників, забезпечуючи результативну боротьбу з бур'янами на полях.",Квин Стар Макс 100мл,
912,Конкур 100 мл,p401073.jpg,400,401,p401912,0,208,100,мл,2026,8/9/2027,10/24/2027,konkur-100-ml,,," Конкур - системний післясходовий гербіцид широкої дії від широколистих і злакових бур'янів. Відрізняється швидким впливом на бур'яни. Відразу після його нанесення ріст зупиняється. Видимі ж ознаки впливу з'являються на 3-7-й день після потрапляння препарату на рослину. Через 10-21 день (залежно від виду бур'яну) рослина гине. Препарат цінується як відмінний післясходовий гербіцид для помідор, картоплі, сої, моркви. Найефективніший проти таких бур'янів, як амброзія, калачики, мишій, фіалка польова, портулак городній, вівсюг, лазіння, куряче просо, волошка синя, мокриця, ромашка лучна та непахуча, гірчак, гірчиця польова, осот, нетреба та інші види. Гербіцид Конкур ціна, відгуки, переваги На ринку представлено безліч аналогів для контролю росту бур'янів. Купити гербіцид на сою або помідори можна від різних компаній. Однак саме Конкур від ""Альфа-Смарт Агро"" має низку переваг, які приваблюють наших постійних партнерів: впливає на бур'яни як через листя рослини, так і через ґрунт; не фітотоксичний для культур; стійкий до опадів - не потребує повторної обробки після дощу; має пролонгований ефект захисту посівів від бур'янів (ґрунтова дія); здатний знищити широкий спектр дводольних і злакових бур'янів. Численні позитивні відгуки про Конкур і повторні замовлення від наших партнерів підтверджують якість і ефективність препарату. Купити Конкур як гербіцид від бур'яну по картоплі, моркві, сої можна в інтернет-магазині АгроХім, який безпосередньо співпрацює з компанією-виробником.",Конкур 100 мл,
914,Ліквідатор Форте 100 мл,p401075.jpg,400,401,p401914,0,130.46,100,мл,2026,8/10/2027,10/25/2027,likvidator-forte-100-ml,,,"Ліквідатор Форте 100 мл Засіб від бур'яну Ліквідатор Форте - гербіцид загальної дії, призначений для боротьби проти однорічних і багаторічних бур'янів. Він ефективно знищує бур'яни, які ростуть на посадках плодово-ягідних і овочевих культур, квітів. Використання препарату призводить до загибелі шкідливої рослини. Ліквідатор Форте вігруки, переваги Купити отруту для трави Ліквідатор вигідно з кількох причин: початок дії препарату через 5-7 днів після нанесення на бур'ян; ефективність проти широкого спектра бур'янів: польової берізки, хвоща, пирію, осоту та багатьох інших різновидів; можливість комбінованого використання з іншими гербіцидами та феноксикислотами для посилення дії; невелика витрата засобу; можливість використання гербіциду для досходової та післясходової обробки. Характеристики Ліквідатора Форте роблять його популярним серед фермерів засобом, що сприяє отриманню хорошого врожаю помідорів, картоплі, кукурудзи, сої, винограду, інших різновидів овочів, фруктів, ягід і квітів.",Ликвидатор Форте,
916,Лобера 100 мл,p401077.jpg,400,401,p401916,0,92.63,100,мл,2026,8/11/2027,10/26/2027,lobera-100-ml,,,"Лобера 100 мл Лобера 100 мл - системний селективний гербіцид, який застосовують на посівах овочевих і зернових с/г культур. Препарат забезпечує ефективне викорінення поширених злакових бур'янів. Переваги Лобера показує високу ефективність проти широкого спектра злакових бур'янів. Цей гербіцид активно використовують для очищення с/г посівів від різновидів тимофіївки, гуньби та мишію, самосівів ячменю, жита, пшениці та проса, мітлиці, стоколоса, плоскухих, щириці, тонконога, свинорою, пирію, канатника та деяких інших бур'янів. Переваги: найбільший вміст хізалофоп-П-етилу (порівняно з аналогами); швидке проникнення в організм бур'янів за рахунок емульгаторів у складі; відсутність обмежень щодо культур у процесі сівозміни; можливість обробки за температури від +10 до +25 °С; простота приготування робочого розчину. Лобера - гербіцид, що зупиняє ріст бур'янів відразу після застосування, тому вони не заважають розвитку с/г культур. Повне всихання і загибель однорічних бур'янів спостерігається через 10-14 днів, багаторічних - через 14-21 день.",Доброе 100 мл,
